"Keyword Version: 24.6","Revision: 2026-08-20T00:00:00.000Z","Timestamp: 2026-08-20 00:00:00","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/projects/?format=xml"
"Bucket","Short_Name","Long_Name","UUID"
"G - I","GPM","Global Precipitation Measurement","297f51be-14cb-49e5-9711-5286d9953ade"
"A - C","ALIENS_SHOULD_DELETE",,"eb77c150-e875-4a1e-ae08-3459d796763a"
"A - C","ALIENS",,"9f83dac5-ae71-451a-8b85-1193c8b0ff38"
"A - C","AMSRICE06_SHOULD_DELETE",,"b15111fd-5f3c-4b9e-8fa8-b72752246823"
"A - C","AMSRICE06",,"d85b2560-8dc8-4682-a3fc-276e2ad3607e"
"A - C","CASERTZ_SHOULD_DELETE",,"d81f01de-b035-4fab-847b-b8fd1a4e8b92"
"A - C","CASERTZ",,"8607d64a-06f9-4d90-9e91-4e9d9ebf8a10"
"M - N","MEASURES_SHOULD_DELETE",,"0f322031-4cc8-48f7-a88e-2d893caa7c98"
"M - N","MEASURES",,"20d8e2a6-769b-40cb-a524-34760914927f"
,"MEASURES_SHOULD_DELETE",,"9403624e-4f3c-4f51-9f46-6692b4c0fe05"
,"MEASURES",,"70f75059-e00a-4e66-be0e-75e958d378bb"
