"Keyword Version: 24.6","Revision: 2026-08-20T00:00:00.000Z","Timestamp: 2026-08-20 00:00:00","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/providers/?format=xml"
"Bucket_Level0","Bucket_Level1","Bucket_Level2","Bucket_Level3","Short_Name","Long_Name","Data_Center_URL","UUID"
"ARCHIVER",,,,"TEST_DAAC","Test Distributed Active Archive Center","https://example.earthdata.nasa.gov","9d230f00-3b1b-48df-a70c-a46a9bedca7c"
"ARCHIVER",,,,"DOC/NOAA/NESDIS/NCEI_SHOULD_DELETE",,,"cc63aaad-d050-4083-8502-065ad7dedabb"
"ARCHIVER",,,,"DOC/NOAA/NESDIS/NCEI",,,"dffa7c82-fc38-4aa8-914b-6de443439490"
"ARCHIVER",,,,"DRSC_SHOULD_DELETE",,,"07146fe3-ebb1-42ca-a592-c9229c2fe032"
"ARCHIVER",,,,"NSIDC_SHOULD_DELETE",,,"35cf0506-7d49-4bae-9538-40bd8d2936e5"
"ARCHIVER",,,,"NSIDC",,,"3dae37f3-f768-4942-bf5e-09de63a188e4"
"ARCHIVER",,,,"NZ/NZAI/ANZ_SHOULD_DELETE",,,"06392d19-aa5d-4533-9e1a-ae9795c9560f"
"ARCHIVER",,,,"NZ/NZAI/ANZ",,,"1299b2dc-8a97-4856-aaf0-986efefa597f"
"PROCESSOR",,,,"DRSC",,,"27eee966-6e25-41af-aed0-76d81de2f3af"
"PROCESSOR",,,,"NASA/MSFC/AMSR-E SIPS_SHOULD_DELETE",,,"53940073-0ef8-4233-bff7-e2fbf88c1464"
"PROCESSOR",,,,"NASA/MSFC/AMSR-E SIPS",,,"5def0da1-5836-441b-ba1e-f90e464eb7ec"
,,,,"SMAP_PROVIDER_SHOULD_DELETE",,,"209d195b-bfe1-4ac1-a4b3-c1075c5ca3fc"
,,,,"SMAP_PROVIDER",,,"164213c7-5e77-4f5f-b2a7-aa9bc14fc5bb"
