"Keyword Version: 24.6","Revision: 2026-08-20T00:00:00.000Z","Timestamp: 2026-08-20 00:00:00","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/instruments/?format=xml"
"Category","Class","Type","Subtype","Short_Name","Long_Name","UUID"
"Earth Remote Sensing Instruments","Active Remote Sensing","Altimeters",,"ALT-TEST","Altitude Test Instrument","3ef0c50f-9935-4480-9ab8-0a9fe5c20211"
,,,,"ATLAS_SHOULD_DELETE",,"d97a2a0f-6fe3-4e10-86ea-1d892237b773"
,,,,"ATLAS",,"5579c70e-ad7a-4296-ac46-f872f751933d"
"Imaging Spectrometers/Radiometers",,,,"AMSR-E_SHOULD_DELETE",,"f1794f36-baa3-4661-8172-7a8796db4f94"
"Imaging Spectrometers/Radiometers",,,,"AMSR-E",,"c8f2f76d-9b14-466d-a0bd-62017ccf143c"
"Imaging Spectrometers/Radiometers",,,,"GEOPHONES_SHOULD_DELETE",,"8903f3c3-9487-490d-9749-67b6f6a17db2"
"Imaging Spectrometers/Radiometers",,,,"MABEL",,"13d8e9e9-8113-4d32-8bd6-391576fb4498"
"Imaging Spectrometers/Radiometers",,,,"SSALT_SHOULD_DELETE",,"99d30ac4-8804-434a-8ac5-bfd169944215"
"In Situ/Laboratory Instruments",,,,"SEISMIC REFLECTION PROFILERS",,"974689c3-afb9-413b-88bb-d0db092e88ea"
,,,,"MODIS_SHOULD_DELETE",,"abd98dcb-d277-41fc-bf42-9116074f5fa8"
,,,,"MODIS",,"ff03ac3d-12bc-475a-be57-673f0bad93f7"
"Synthetic Aperture Radar",,,,"TSX-1",,"55b17bd8-637e-4f8f-8cda-71c6b690ad43"
