"Keyword Version: 24.6","Revision: 2026-08-20T00:00:00.000Z","Timestamp: 2026-08-20 00:00:00","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/platforms/?format=xml"
"Basis","Category","Sub_Category","Short_Name","Long_Name","UUID"
"Space-based Platforms","Earth Observation Satellites",,"GOSAT","Greenhouse Gases Observing Satellite","918b8740-4d85-4b75-90fd-315bea76747a"
"Air-based Platforms","Rotorcraft/Helicopter",,"AS350-B3_SHOULD_DELETE",,"ca1059da-b637-4e8c-99b8-602773c39adb"
"Air-based Platforms","Rotorcraft/Helicopter",,"AS350-B3",,"e0c2f0bd-cca2-4f48-baef-b9789bcf90a6"
,,,"AQUA_SHOULD_DELETE",,"b82f73c1-d292-411a-8d15-3b2c6ae51be1"
,,,"AQUA",,"b5d32419-15dc-41d1-9bf4-0fd4fe897f43"
"Space-based Platforms","Earth Observation Satellites",,"SPOT-4_SHOULD_DELETE",,"9e00bcf6-7200-4ce2-8cb0-5cc6ad73aac5"
"Space-based Platforms","Earth Observation Satellites",,"SPOT-4",,"513a30a4-cd9c-41a6-b81f-fc0c042a783b"
"Space-based Platforms","Earth Observation Satellites",,"Amazonia-1",,"f0ddf64c-019d-43ba-8c83-a9db783e9392"
"Space-based Platforms","Earth Observation Satellites",,"Terra_SHOULD_DELETE",,"59af64b4-1d71-4de4-9984-2ba5f4719268"
"Space-based Platforms","Earth Observation Satellites",,"Terra",,"27c48216-19d0-4b55-b6f6-1095fd315234"
,,,"TERRA_SHOULD_DELETE",,"5d285826-449a-4900-b4b7-7a0286099ea0"
,,,"TERRA",,"a8e27d4a-3e27-4e35-b9c5-a8fc80f3ded2"
